프로빈스 번호,인게임 코드,한국어 명칭,영문 명칭,RGB,백작령,백작령 코드,백작령 색상,공작령,공작령 코드,공작령 색상,공작령 수도,왕국령,왕국령 코드,왕국령 색상,왕국령 수도,제국령,제국령 코드,제국령 색상,제국령 수도,문화,종교,홀딩,지형,특이사항,end,
1,b_1,,,,,,,,,,,,,,,,,,,,,,,,end,
2,b_2,,,,,,,,,,,,,,,,,,,,,,,,end,
3,b_3,,,,,,,,,,,,,,,,,,,,,,,,end,
4,b_4,,,,,,,,,,,,,,,,,,,,,,,,end,
5,b_5,,,,,,,,,,,,,,,,,,,,,,,,end,
6,b_6,,,,,,,,,,,,,,,,,,,,,,,,end,
7,b_7,,,,,,,,,,,,,,,,,,,,,,,,end,
8,b_8,,,,,,,,,,,,,,,,,,,,,,,,end,
9,b_9,,,,,,,,,,,,,,,,,,,,,,,,end,
10,b_10,,,,,,,,,,,,,,,,,,,,,,,,end,
11,b_11,,,,,,,,,,,,,,,,,,,,,,,,end,
12,b_12,,,,,,,,,,,,,,,,,,,,,,,,end,
13,b_13,,,,,,,,,,,,,,,,,,,,,,,,end,
14,b_14,,,,,,,,,,,,,,,,,,,,,,,,end,
15,b_15,,,,,,,,,,,,,,,,,,,,,,,,end,
16,b_16,,,,,,,,,,,,,,,,,,,,,,,,end,
17,b_17,,,,,,,,,,,,,,,,,,,,,,,,end,
18,b_18,,,,,,,,,,,,,,,,,,,,,,,,end,
19,b_19,,,,,,,,,,,,,,,,,,,,,,,,end,
20,b_20,,,,,,,,,,,,,,,,,,,,,,,,end,
21,b_21,,,,,,,,,,,,,,,,,,,,,,,,end,
22,b_22,,,,,,,,,,,,,,,,,,,,,,,,end,
23,b_23,,,,,,,,,,,,,,,,,,,,,,,,end,
24,b_24,,,,,,,,,,,,,,,,,,,,,,,,end,
25,b_25,은평,eunpyeong,"170,65,90",은평,c_eunpyeong,"216,225,230",마포,d_mapo,"180,125,100",c_mapo,서울,k_seoul,"75,30,230",c_jongno,,,,,seoul,seoulism,castle_holding,,,end,
