프로빈스 번호,인게임 코드,한국어 명칭,영문 명칭,RGB,백작령,백작령코드명,백작령 색상,공작령,공작령코드명,공작령 색상,왕국령,왕국령코드명,왕국령 색상,제국령,제국령코드명,제국령 색상,문화,종교,홀딩,지형,특이사항,
1,b_1,,,,,,,,,,,,,,,,,,,,바다,
2,b_2,,,,,,,,,,,,,,,,,,,,통행불가산,
3,b_3,,,,,,,,,,,,,,,,,,,,통행불가산,
4,b_4,,,,,,,,,,,,,,,,,,,,통행불가산,
5,b_5,,,,,,,,,,,,,,,,,,,,통행불가산,
6,b_6,,,,,,,,,,,,,,,,,,,,통행불가산,
7,b_7,,,,,,,,,,,,,,,,,,,,통행불가산,
8,b_8,,,,,,,,,,,,,,,,,,,,통행불가바다,
9,b_9,,,,,,,,,,,,,,,,,,,,통행불가바다,
10,b_10,,,,,,,,,,,,,,,,,,,,통행불가바다,
11,b_11,,,,,,,,,,,,,,,,,,,,통행불가산,
12,b_12,,,,,,,,,,,,,,,,,,,,통행불가산,
13,b_13,,,,,,,,,,,,,,,,,,,,통행불가산,
14,b_14,,,,,,,,,,,,,,,,,,,,통행불가산,
15,b_15,,,,,,,,,,,,,,,,,,,,통행불가산,
16,b_16,,,,,,,,,,,,,,,,,,,,통행불가산,
17,b_17,,,,,,,,,,,,,,,,,,,,통행불가산,
18,b_18,,,,,,,,,,,,,,,,,,,,통행불가산,
19,b_19,,,,,,,,,,,,,,,,,,,,통행불가산,
20,b_20,,,,,,,,,,,,,,,,,,,,통행불가산,
21,b_21,,,,,,,,,,,,,,,,,,,,통행불가산,
22,b_22,,,,,,,,,,,,,,,,,,,,통행불가산,
23,b_23,,,,,,,,,,,,,,,,,,,,통행불가산,
24,b_24,,,,,,,,,,,,,,,,,,,,통행불가산,
25,b_25,은평,eunpyeong,"170,65,90",은평,,,마포,,,서울,,,,,,,,,,,
26,b_26,서대문,w.gate,"170,65,90",서대문,,,마포,,,서울,,,,,,,,,,,
27,b_27,마포,mapo,"180,125,90",마포,,,마포,,,서울,,,,,,,,,,,
28,b_28,종로,jongno,"180,25,100",종로,,,서울,,,서울,,,,,,,,,,,
29,b_29,중구,junggu,"170,65,90",중구,,,서울,,,서울,,,,,,,,,,,
30,b_30,용산,yongsan,"170,65,90",용산,,,서울,,,서울,,,,,,,,,,,
31,b_31,성동,seongdong,"170,65,90",성동,,,동대문,,,서울,,,,,,,,,,,
32,b_32,성북,seongbuk,"170,65,90",성북,,,성북,,,서울,,,,,,,,,,,
33,b_33,강북,gangbuk,"170,65,90",강북,,,성북,,,서울,,,,,,,,,,,
34,b_34,동대문,e.gate,"170,65,90",동대문,,,동대문,,,서울,,,,,,,,,,,
35,b_35,도봉,dobong,"170,65,90",도봉,,,성북,,,서울,,,,,,,,,,,
36,b_36,노원,nowon,"170,65,90",노원,,,성북,,,서울,,,,,,,,,,,
37,b_37,중랑,jungnang,"170,65,90",중랑,,,동대문,,,서울,,,,,,,,,,,
