프로빈스 번호	인게임 코드	한국어 명칭	영문 명칭	RGB	백작령	백작령코드명	백작령 색상	공작령	공작령코드명	공작령 색상	왕국령	왕국령코드명	왕국령 색상	제국령	제국령코드명	제국령 색상	문화	종교	홀딩	지형	특이사항	end
1	b_1																				바다	end
2	b_2																				통행불가산	end
3	b_3																				통행불가산	end
4	b_4																				통행불가산	end
5	b_5																				통행불가산	end
6	b_6																				통행불가산	end
7	b_7																				통행불가산	end
8	b_8																				통행불가바다	end
9	b_9																				통행불가바다	end
10	b_10																				통행불가바다	end
11	b_11																				통행불가산	end
12	b_12																				통행불가산	end
13	b_13																				통행불가산	end
14	b_14																				통행불가산	end
15	b_15																				통행불가산	end
16	b_16																				통행불가산	end
17	b_17																				통행불가산	end
18	b_18																				통행불가산	end
19	b_19																				통행불가산	end
20	b_20																				통행불가산	end
21	b_21																				통행불가산	end
22	b_22																				통행불가산	end
23	b_23																				통행불가산	end
24	b_24																				통행불가산	end
25	b_25	은평	eunpyeong	170,65,90	은평			마포			서울	k_seoul										end
26	b_26	서대문	w.gate	170,65,90	서대문			마포			서울	k_seoul										end
27	b_27	마포	mapo	180,125,90	마포			마포			서울	k_seoul										end
28	b_28	종로	jongno	180,25,100	종로			서울			서울	k_seoul										end
29	b_29	중구	junggu	170,65,90	중구			서울			서울	k_seoul										end
30	b_30	용산	yongsan	170,65,90	용산			서울			서울	k_seoul										end
31	b_31	성동	seongdong	170,65,90	성동			동대문			서울	k_seoul										end
32	b_32	성북	seongbuk	170,65,90	성북			성북			서울	k_seoul										end
33	b_33	강북	gangbuk	170,65,90	강북			성북			서울	k_seoul										end
34	b_34	동대문	e.gate	170,65,90	동대문			동대문			서울	k_seoul										end
35	b_35	도봉	dobong	170,65,90	도봉			성북			서울	k_seoul										end
36	b_36	노원	nowon	170,65,90	노원			성북			서울	k_seoul										end
37	b_37	중랑	jungnang	170,65,90	중랑			동대문			서울	k_seoul										end
38	b_38	광진	gwangjin	170,65,90	광진			동대문			서울	k_seoul										end
39	b_39	구리	guri	43,27,213	남양주			의정부			개성	k_gaeseong										end
40	b_40	강동	gangdong	170,65,90	강동			강남			서울	k_seoul										end
41	b_41	송파	songpa	170,65,90	송파			강남			서울	k_seoul										end
42	b_42	강남	gangnam	170,65,90	강남			강남			서울	k_seoul										end
43	b_43	서초	seocho	170,65,90	서초			강남			서울	k_seoul										end
44	b_44	동작	dongjak	170,65,90	동작			영등포			서울	k_seoul										end
45	b_45	영등포	yeongdeungpo	170,65,90	영등포			영등포			서울	k_seoul										end
46	b_46	강서	gangseo	170,65,90	강서			영등포			서울	k_seoul										end
47	b_47	양천	yangcheon	170,65,90	양천			영등포			서울	k_seoul										end
48	b_48	구로	guro	170,65,90	구로			영등포			서울	k_seoul										end
49	b_49	금천	geumcheon	170,65,90	금천			영등포			서울	k_seoul										end
50	b_50	관악	gwanak	170,65,90	관악			영등포			서울	k_seoul										end
51	b_51	과천	gwacheon	0,210,35	과천			안산			경기	k_gyeonggi										end
52	b_52	성남	seongnam	84,156,26	성남			성남			경기	k_gyeonggi										end
53	b_53	도척	docheok	85, 108, 191	광주			성남			경기	k_gyeonggi										end
54	b_54	하남	hanam	168,162,27	하남			성남			경기	k_gyeonggi										end
